,epoch,train loss,val loss,ratio,train accuracy,val accuracy,computation duration
0,1.0,1.46026730562,0.833722103796,0.570938006069,0.637852941176,0.82275,5.82033446498
1,2.0,0.690154886374,0.597619720096,0.865921160444,0.8435,0.861,5.71161555197
2,3.0,0.548238369912,0.524403841163,0.956525245116,0.866735294118,0.86825,5.6319447078
3,4.0,0.486292072195,0.467058993455,0.960449532617,0.881117647059,0.886,5.5275973865
4,5.0,0.45372748297,0.442043459959,0.974248809142,0.887147058824,0.889625,5.71916475936
5,6.0,0.440370356316,0.422847575862,0.960208991811,0.888852941176,0.89525,5.89177553834
6,7.0,0.41841738274,0.42102455024,1.006231021,0.895911764706,0.895375,5.60174583625
7,8.0,0.4042928296,0.401776969949,0.993777135121,0.898176470588,0.89925,5.60542052869
8,9.0,0.391373221433,0.394143760528,1.00707902059,0.902705882353,0.899875,5.7133699062
9,10.0,0.379940727062,0.380702510581,1.00200500621,0.905588235294,0.905875,5.6656694988
10,11.0,0.37093604374,0.365369200241,0.984992443865,0.905941176471,0.908,5.71212021323
11,12.0,0.363517410447,0.350239895332,0.963474885292,0.912147058824,0.9165,5.65680642186
12,13.0,0.35178802477,0.364982041519,1.03750558808,0.913882352941,0.910875,4.33307876625
13,14.0,0.351213262441,0.367088120839,1.04520005391,0.914529411765,0.91075,4.19656556133
14,15.0,0.342833912903,0.333803131249,0.973658435429,0.916176470588,0.919875,5.69064031304
15,16.0,0.336004766875,0.337204160119,1.00356957211,0.918088235294,0.92025,5.80811670335
16,17.0,0.330096590583,0.34134769648,1.03408428387,0.920235294118,0.912125,4.37418648896
17,18.0,0.322906284688,0.323189244555,1.00087629099,0.923205882353,0.920375,5.63403278023
18,19.0,0.309240711647,0.325811685275,1.05358600276,0.926852941176,0.922875,5.56877628687
19,20.0,0.305882265833,0.335480365669,1.09676304625,0.927235294118,0.9175,4.233938499
20,21.0,0.304951477663,0.3306080624,1.0841333347,0.927029411765,0.920375,4.35646150193
21,22.0,0.303123018884,0.313046330289,1.03273691137,0.927264705882,0.923875,5.67719736223
22,23.0,0.293442393729,0.307280570906,1.04715807079,0.929588235294,0.927375,5.62894707824
