,epoch,train loss,val loss,ratio,train accuracy,val accuracy,computation duration
0,1.0,2.3471172971,2.3398363369,0.996897913791,0.178117647059,0.192875,20.044949566
1,2.0,2.32790145222,2.30674634874,0.990912371544,0.232117647059,0.28525,19.8926215023
2,3.0,2.19602474482,1.9065835717,0.86819767227,0.316558823529,0.38575,19.2074058603
3,4.0,1.37739397591,0.939283729222,0.681928152474,0.580705882353,0.73925,20.5348032492
4,5.0,0.755108288606,0.6238109042,0.826121118801,0.786411764706,0.826125,20.1234068894
5,6.0,0.564095854928,0.49544403886,0.878297605861,0.844823529412,0.86575,19.3692066783
6,7.0,0.473482568843,0.423461763541,0.894355550567,0.871029411765,0.88625,19.1358101797
7,8.0,0.40531270491,0.393873858062,0.971777724435,0.891647058824,0.8955,19.7566675087
8,9.0,0.371013018628,0.339996588196,0.916400695191,0.903617647059,0.9125,19.6973654348
9,10.0,0.334483981381,0.311116821508,0.930139674324,0.912147058824,0.921625,20.0301198177
10,11.0,0.308723666284,0.294684785112,0.954526060991,0.921764705882,0.92675,20.1275025218
11,12.0,0.291459268699,0.281735508464,0.966637670235,0.927323529412,0.929125,19.802214792
12,13.0,0.272410482154,0.250167609508,0.918347956106,0.930970588235,0.939125,20.3404077313
13,14.0,0.252330915271,0.266906798096,1.05776495048,0.9365,0.9365,16.3191238614
14,15.0,0.238770821286,0.237840316162,0.996102936198,0.942117647059,0.94375,19.7125933696
15,16.0,0.225632480209,0.232025220486,1.0283325356,0.945705882353,0.942,16.4530764209
16,17.0,0.219307786374,0.2267922095,1.03412748471,0.948794117647,0.946625,20.3021132763
17,18.0,0.21400632357,0.221960923482,1.03716992928,0.949764705882,0.94925,20.5017316007
18,19.0,0.20203739093,0.213216133396,1.05533006744,0.951617647059,0.952875,19.7544537086
19,20.0,0.19951926062,0.211372917312,1.05941108972,0.953058823529,0.954,20.0952710031
20,21.0,0.195786056413,0.198336606058,1.01302722825,0.953941176471,0.95575,20.4435004005
21,22.0,0.185350233173,0.201331498927,1.08622198894,0.956558823529,0.95625,19.1418223581
22,23.0,0.179836280259,0.207923887158,1.15618431863,0.959323529412,0.952625,16.1053919409
23,24.0,0.179518948042,0.192011294688,1.06958790023,0.959941176471,0.96075,19.829985747
24,25.0,0.177037467076,0.197193169133,1.11384992335,0.959794117647,0.956375,15.8686568018
25,26.0,0.167605047867,0.176940826456,1.05570105857,0.963176470588,0.96125,18.9103003989
26,27.0,0.170682822048,0.187066184525,1.09598717832,0.962441176471,0.9595,16.3925853301
